image_uid,file_name,model,caption,word_count,runtime_seconds
f6a665c9c37d4c478b89b3ced05f7333,a Claire IMG_64071.JPG,BLIP,a small penguin standing next to a pile of luggage,10,1.393
20213f04219c403e803c2f1edcc1764a,DSC_0255.JPG.jpg,BLIP,a penguin with an orange beak standing on a rock,10,1.19
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,BLIP,reflection of a mountain in the water,7,0.945
1fd1c1530df443739bd77707e79a9677,20121121-DSC_0811 FK.jpg,BLIP,a bunch of tools hanging on a wall,8,1.282
158b64cf9c1d4af8ac7f72a9beb209ac,A1e9 (2).jpg,BLIP,a close up of a fire hydra on a wall,10,1.226
ac4167003b634643be1ea978480593bb,a Cat IMG_7551.JPG,BLIP,a small building with a flag on top of it,10,1.385
b7348c63768f4e8cb698b20021024f88,Extension disappears.jpg,BLIP,snow on the ground,4,1.061
20ec2a8d2d104c33bce489a61ee86325,Snow arrives.jpg,BLIP,the sky is blue,4,0.787
9d09ecfe0c30413a8354de71e896b332,A1c252_10.jpg,BLIP,a silver spoon sitting on top of a red and white checkered table cloth,14,1.635
a57ec9797d13473cb798fa6cb9225bd3,Building the new bar.jpg,BLIP,two men working on a table in a room,9,1.452
a0489fd2af674885b9a9d653524acb71,A1b8_1.jpg,BLIP,two old electrical devices sitting on a wooden floor,9,1.136
b0eb77e43cdb4ccc96dd9c136f47e1b8,Port Lockroy 24th April 2020 JNH (4) (Large).jpg,BLIP,a red and black house,5,0.817
c54cac66f11e48a59c4976b25b78df6e,BitumenBoatShedDSC02535.JPG,BLIP,two people on a roof,5,0.85
98bc2a1bb07d49fc97c9371231f60097,S7R08546.JPG,BLIP,a pile of rocks on the ground,7,1.024
e120afd83e3644e8b799b1374586c93a,Lounge scrubout.jpg,BLIP,two men working on a red floor in a room,10,1.216
20f8899f8e6c4e69aac46246a40fa5b1,DSC_0539.JPG,BLIP,a close up of a bird with its beak open,10,1.354
a1ae2206ca65418caf6793ceaff4503f,Writing survey report.jpg,BLIP,a man sitting at a desk with a calcula,9,1.729
b757e68e5cbc499594a29f2011cb3a0b,Port Lockroy 24th April 2020 JNH (27) (Large).jpg,BLIP,"a room with a bed, a dresser and a window",10,26.586
51e6507155304de387c549d532495897,DSC_7173.JPG,BLIP,a red and black building,5,1.9
7ea24f3a78604301877653deb893281b,DSC_0281.JPG,BLIP,a group of people sitting in a room,8,1.406
129fa639dba244a7ac0190e63b09433d,repairs for sledging season.jpg,BLIP,a man sitting in a chair,6,1.599
8538506188b84c48a402475fa6c3e025,RRS JB unloading at Stonington.jpg,BLIP,a red boat sitting on top of an ice covered lake,11,1.497
16cb160c6d9c46b0ad2f0100f6243986,S7R08507.JPG,BLIP,a snow covered hill with a blue sky in the background,11,1.315
b2e1a0ee2dcb4b2c99d43744da0dd24a,S7R08454.JPG,BLIP,the sky is clear and blue,6,0.993
66f184b666714f0b8dd3550fb858a630,A1c192.jpg,BLIP,a metal pot sitting on a table next to a window,11,1.514
9b1cdaedeb11482e8124a408796ce11c,A1b28a.jpg,BLIP,a close up of a metal object on a table,10,1.977
6981d5c60f834d68a4330ac56789fda5,CAT TOTTY Rachel P1040161.JPG,BLIP,a man standing on the side of a building,9,3.542
9dc363e511da4f7bbf43c20b53e77811,Port Lockroy 24th April 2020 JNH (23) (Large).jpg,BLIP,a room with a stove and a window,8,2.524
24109e2aa1294d86bdcfbd71e463b00d,Port Lockroy 24th April 2020 JNH (20) (Large).jpg,BLIP,a table with a bunch of cans and cans on it,11,1.631
7438818de69a4acf883439ec4448af7a,A1c250_11a.jpg,BLIP,a knife on a red and white checkered table cloth,10,1.735
0c273363d58540809461bdf6135c5204,P7630276 (Large).JPG,BLIP,a red door on a black building,7,1.115
199c993db7cb47e2b88699a14cc41697,DSC_0236.JPG,BLIP,a table with a globe and a radio on it,10,1.551
09d4c922817b4b5cb00ea8831b3f36cf,Port Lockroy 24th April 2020 JNH (18) (Large).jpg,BLIP,a bunch of cans sitting on top of a wooden shelf,11,1.515
14ab52001c8f4461bdb93a3cd2072ec2,"Bransfield House, Kristine Hannon (1).jpg",BLIP,a group of people standing on a rocky shore,9,1.392
0bba94cf27214501948d2b6caf35a46e,DSC_0247.JPG,BLIP,"a cup, toothpass, toothpass, toothpass, toothpass, toothpass, toothpass, tooth",9,2.67
f4736b6aa30e4b4e81c6137186d4596e,Port Lockroy 24th April 2020 JNH (43) (Large).jpg,BLIP,an old stove sitting on top of a table,9,1.319
3c2734066c0343edbc45f7dc55bdf512,DSC_7165.JPG,BLIP,a red and black structure,5,1.206
015997e0c07442b8a86db444a4c84a67,S7R08542.JPG,BLIP,the snow is white in color,6,1.007
c256fffbf5cc4488843bcfea36c0a008,DSC_0115.JPG,BLIP,reflection of mountains in water,5,1.187
c511505d73324b1d99c1e8555d577b82,Medium size female husky.jpg,BLIP,a man holding a dog on a rocky beach,9,1.182
e62bf61e69224413997efe395a3f8ca3,Port Lockroy 24th April 2020 JNH (30) (Large).jpg,BLIP,a book on a bed next to a pillow,9,1.181
a9917542a0c04462a2c7cef12e809669,DSC_7159.JPG,BLIP,a person is standing on a wooden bench,8,1.401
700aa52c5acd40bdb972a22d43bbd586,DSC_0072.JPG,BLIP,rocks on the ground,4,1.038
f88ec7147fe248bfa6ad8e1959512cce,A1c16.jpg,BLIP,a kitchen with a sink and a pot on the counter,11,1.423
b506c7d0d59043399268f93ff1b06ba5,Port Lockroy 24th April 2020 JNH (22) (Large).jpg,BLIP,a room with a desk and a clock on the wall,11,1.278
262599dec4564d8c815674d3d2bd925f,A1b74a.jpg,BLIP,an old radio sitting on top of a wooden table,10,1.262
740ac4a847c841838d25854a9496ce82,A1c166a.jpg,BLIP,a close up of a piece of paper with a label on it,13,1.528
60f3037e6e8e426eb773f8b8050f1e4e,A1a10b.jpg,BLIP,a window with a red and white checkered curtain,9,1.248
5b836389f6b949e2945dbcfabf6dacee,A1c57.jpg,BLIP,an old hammer sitting on top of a wooden table,10,1.305
205d65e906924e6fa9c4e7fc283c6cb5,Port Lockroy 24th April 2020 JNH (25) (Large).jpg,BLIP,a room with a stove and a chair in it,10,1.196
745171cf21e345babaa1e047bd7fa86a,A1b71u.jpg,BLIP,an old typewriter sitting on a wooden table,8,1.219
a50908d18fe940dd8ab5c5eeadd234d2,CAT TOTTY - Rachel P1040162.jpg,BLIP,a woman in a red jacket and black pants paints the side of a building,15,1.708
6d35ad96d5ae4f21b56973f9320d772d,Port Lockroy 24th April 2020 JNH (56) (Large).jpg,BLIP,the roof of a building with a lot of paint on it,12,1.388
dde38f0ae5c949fe995c64d63b3437a1,Port Lockroy 24th April 2020 JNH (39) (Large).jpg,BLIP,an old lamp on a table next to a box,10,1.217
7bf10f471a29499a9217377a55e42434,DSC_7143.JPG,BLIP,a black building with a red window and a white window,11,1.527
633d22d760cd41b498d04160f67fe622,A1c186.jpg,BLIP,a metal plate with writing on it on a wooden table,11,1.311
77645f3d84d247339345ee8f162e572d,S7R08553.JPG,BLIP,a pile of rocks,4,1.056
732217b1f530494f926f5e153e926ab0,A1b19a.jpg,BLIP,a couple of springs sitting on top of a table,10,1.385
bba3f062bc3d4c08b5a68b6ad7456b7e,"Diesel mech, electrician in new extension.jpg",BLIP,a man in a room with a ceiling fan,9,1.419
85690c9cf2214b019b2f23afa12b9bec,Port Lockroy 24th April 2020 JNH (5) (Large).jpg,BLIP,a wall with a bunch of tools hanging on it,10,1.378
40f535be904a492d88b6c562ac239b05,RRS JB in Back Bay.jpg,BLIP,a view of a glacier and mountains in the distance,10,1.411
651550c921dc4d2f965be94e22afbd47,Sometimes they were quite clean.jpg,BLIP,a white dog laying on a bench in the snow,10,1.419
21dc7c3bd8cb49a291a020b130157533,Winter set in.jpg,BLIP,a mountain covered in snow,5,0.883
2afc619eb8dd445db7f50c42136c7a58,Saturday night at the bar.jpg,BLIP,a group of men sitting around a table playing guitars,10,1.375
ccf18b4dcefa450cb296ec25d7878a6e,DSC_0105.JPG,BLIP,the sky is overcast,4,1.179
567bee78456b411e992dd6bbedcd1840,A1f2b.jpg,BLIP,a brush on the floor,5,1.09
c62b9c0af8904e588bd261890921f0be,DSC_0069.JPG,BLIP,a pile of snow,4,1.119
d292cc40b4134b45a6d869fe5805a330,A1h165c.JPG,BLIP,a gray blower sitting on top of a carpet,9,1.236
a2265c4b08f34a75b2abd32581101634,DSC_7181.JPG,BLIP,a red and black building,5,1.145
afa0c05ed49a41b3a8834957eada108d,Port Lockroy 24th April 2020 JNH (54) (Large).jpg,BLIP,mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold,21,1.926
7f3c6a5f2c1c429da2f398079a2584df,a Cat IMG_9332.JPG,BLIP,a table covered with lots of different types of stamps,10,1.318
991cd5dbc6ee422b863c2136f1ddd5fd,Port Lockroy 24th April 2020 JNH (7) (Large).jpg,BLIP,two wooden skis hanging on a wall,7,1.225
0b31540d868c4d42b1f26cba1bfd6f5b,A1c113_2c.jpg,BLIP,a green and white sign on a wooden table,9,1.267
e615e53dcc8449c1abc183b57c6055c5,DSC_7174.JPG,BLIP,a red and white house,5,1.11
4213d22bee534e8fb37118f54d66c892,Scrubout.jpg,BLIP,a couple of men sitting on the floor,8,1.11
8c04d7b148524d6fb97c13bfbfb10ac7,A1e41l.jpg,BLIP,a close up of a piece of machinery,8,1.417
398fd84f68c7493f84cad6e76132df73,a Claire IMG_6340.JPG,BLIP,a group of penguins,4,1.216
2c01621f943e4ffc9cd3878872b28ef0,Port Lockroy 24th April 2020 JNH (29) (Large).jpg,BLIP,a bed with a painting on the wall,8,1.304
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,BLIP,a red door with a lock on it,8,1.11
889f438e86884f56aacd1cd81655dc23,a Claire IMG_1985.JPG,BLIP,a group of penguins standing on top of a building,10,1.376
161808786f8b4ef580a5c72afb7a4d27,DSC_0110.JPG,BLIP,an old building with snow on the ground,8,1.639
dc0c530ed1754c0295c6701582a82dae,A true Antarctic scene. Kristine Hannon.jpg,BLIP,a bird sitting on top of a pile of snow,10,1.374
