image_uid,file_name,model,caption,confidence,runtime_seconds
6b4cf24fc9edef20,DSC_7124.JPG,BLIP,a red and black building,,1.684
d216ea9bc1c7a26f,DSC_7125.JPG,BLIP,a black building with a red window and a white roof,,2.442
56393d910875b893,DSC_7126.JPG,BLIP,a red and black building with a white window,,2.211
c0d711692a745152,DSC_7127.JPG,BLIP,a red and black building,,1.797
0f4869cef1d26296,HY9A2345.jpg,BLIP,a bottle with a red substance inside of it,,2.42
1e1ef4a8cd5440d6,HY9A2346.jpg,BLIP,a small glass bottle with a red liquid inside,,2.706
dba90b9be2a723dc,P1010138.JPG,BLIP,a shelf with two empty bottles on it,,3.059
44558cfe8479c4b1,P1010139.JPG,BLIP,a paper with a picture of a bottle of wine,,4.691
5944a5e13aaed7ee,P7630273 (Large).jpg,BLIP,penguins on a rock,,3.205
8a6803aa95fd2442,P7630276 (Large).JPG,BLIP,a red door on a black building,,3.44
7253795b62ffac55,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,BLIP,a large pile of logs in the snow,,3.554
6a1221a18251bf1d,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,BLIP,a man is sitting on a bench in the snow,,3.813
82f8eb61df749a5f,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,BLIP,a group of penguins,,2.829
2eec9ea40aa80570,S7R08578.JPG,BLIP,a pile of rocks,,2.488
18594371971610a0,S7R08579.JPG,BLIP,a white building with a black roof,,2.605
7f783afe1441ff78,S7R08580.JPG,BLIP,a white building with a black roof,,2.371
91cf801b0e36d8c9,S7R08581.JPG,BLIP,a small building on a rocky beach,,2.306
773034f5070e1a75,"© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",BLIP,a man and woman looking at a magazine,,3.11
c42a596d132d17ad,1964 extension basis.jpg,Florence-2,"The image shows three men working on a wooden structure in a construction site. The structure appears to be a wooden frame with wooden planks and beams. The men are standing on a pile of rubble and debris, and one of them is holding a hammer. The background shows a mountain range with snow-capped peaks. The sky is blue and the overall mood of the image is one of hard work and dedication.",,9.401
3382eeae20dd56d2,1964 extension.jpg,Florence-2,"The image shows a construction site with a large wooden structure in the foreground. The structure appears to be a single-story building with a sloping roof and multiple windows. The walls of the structure are made of wooden planks and there is a ladder leaning against one of them. In the background, there are mountains and a clear blue sky. The ground is covered in rubble and debris, and there are a few pieces of wood and other construction materials scattered around. The image is taken from a low angle, looking up at the structure.",,7.703
9714d7b24a105173,a Cat IMG_5781 50_.jpg,Florence-2,"The image shows a person sitting at a desk in a workshop. The person is wearing a black beanie and a gray jacket. They are holding a piece of paper in their hands and appears to be writing or drawing on it. The desk is cluttered with various items such as books, papers, and other miscellaneous items. The walls of the workshop are painted green and there are shelves and cabinets in the background. The floor is made of red tiles.",,7.458
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,Florence-2,"The image shows a person sitting at a desk in a workshop. The person is wearing a black beanie and a gray jacket. They are holding a piece of paper in their hands and appears to be writing or drawing on it. The desk is cluttered with various items such as books, papers, and other miscellaneous items. The walls of the workshop are painted green and there are shelves and cabinets in the background. The floor is made of red tiles.",,7.51
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,Florence-2,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. The sky is overcast and the ground is covered in a thick layer of snow. There are a few penguins scattered around the building. The overall mood of the image is cold and wintery.",,7.169
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,Florence-2,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. The sky is overcast and the ground is covered in a thick layer of snow. There are a few penguins scattered around the building. The overall mood of the image is cold and wintery.",,7.227
b6720402f96912ee,a Cat IMG_7551.JPG,Florence-2,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. In front of the flagpole, there are several penguins standing on the snow-covered ground. The sky is overcast and the overall mood of the image is cold and wintery.",,7.706
d9bb875e3424de6a,A1b10a.jpg,Florence-2,"The image shows an old, rusted metal object on a wooden surface. The object appears to be a small, rectangular piece of metal with a hole in the center. It has a label on it that reads ""Model No. 1"" and ""D.C. VOLTS"". There are two screws on either side of the label, one on top of the other, and a small metal bracket on the right side. The metal has a rough, uneven texture and there is a small amount of rust visible on the surface.",,7.855
e595310773fec038,A1b9a.jpg,Florence-2,"The image shows a small, rectangular object made of metal. It appears to be made of a light-colored material, possibly brass or bronze, and has a rough, textured surface. The object is resting on a wooden surface, and there is a small screw visible on the top right corner of the image. The edges of the object are slightly curved, and it has a small hole in the center.",,7.227
045b9242605636b2,A1b9b.jpg,Florence-2,"The image shows a small, rectangular metal object with a brownish-brown color. It appears to be made of metal and has a rough, textured surface. The object has two screws on either side, one on top and one on the bottom, which are used to secure it in place. The text on the object reads ""T-ST995-M"". The object is resting on a wooden surface, possibly a table or countertop.",,7.427
0d2aac4460187142,A1b9c.jpg,Florence-2,"The image shows a small, rectangular metal object with two screws on either side. The object appears to be made of metal and has a textured surface. The text on the object is written in black and reads ""SILTON"" and ""1000"". There is also a small metal latch on the top left corner of the object. The background is a wooden surface, possibly a table or countertop.",,6.782
e952e75b2817758f,A1h164d.JPG,Florence-2,"The image shows a long, cylindrical metal tube with a brass-colored handle resting on a wooden shelf. The tube appears to be made of glass and has a label on it with the brand name ""BOSCH"". The shelf is made of light-colored wood and is attached to the top of the shelf with screws. There is a small wooden block on the right side of the tube, which is likely used to hold the tube in place while it is being worked on. The background is a beige-colored wall.",,7.923
83df35a80d9dd60a,A1h165.JPG,Florence-2,"The image shows a set of various mechanical components laid out on a beige-colored surface. There are four items in total, including a pressure gauge, a wind vane, a thermometer, and a weather vane. The pressure gauge is in the center of the image, with a black dial and a white face. The thermometer is on the left side of the device, and the thermometer and thermometer are on the right side. There are also two metal rods, one with a curved handle and the other with a pointed tip, which are used to measure the direction of the wind. The rod is attached to a gray metal bracket, which is likely used to hold the thermometers in place while they are being used to adjust the temperature.",,9.632
1850299dd463946f,A1h165a.JPG,Florence-2,"The image shows a small, round, grey-colored object with a gold-colored knob on top. The object appears to be made of metal and has a cylindrical shape with a flat base. The knob is attached to the top of the object with two screws. On the base, there is a label that reads ""MARK 18"" in gold lettering. The background is a beige-colored surface, possibly a table or countertop.",,7.378
700d501555e9c6b2,A1h165b.JPG,Florence-2,"The image shows a metal object, which appears to be a magnifying glass, lying on a beige carpeted floor. The object is made of metal and has two circular lenses on either side. The lenses are attached to a metal bracket with a small handle on one end. The bracket is attached to the top of the object with two screws. There is also a small piece of metal on the floor next to the object. In the background, there is a wooden shelf and a pair of shoes.",,7.743
d7b12cfe0c2ba1f2,Afternoon smoko.jpg,Florence-2,"The image shows a group of six men sitting around a wooden table in a living room. The room has a bookshelf on the left side and a window with floral curtains on the right side. There is a guitar hanging on the wall in the background. The men are engaged in a conversation and appear to be of different ages and ethnicities. One of the men is standing with his hands on his head, while the others are seated around the table. On the table, there are various items such as a laptop, a coffee maker, and a cup of coffee. The overall atmosphere of the room is cozy and relaxed.",,8.714
d408bde357ad32f4,At the bar.jpg,Florence-2,"The image shows two men sitting at a bar counter. The man on the left is wearing a gray shirt and glasses and is holding a glass of beer. He is looking at the camera with a surprised expression on his face. On the right side of the image, there is a man with a beard and glasses playing an acoustic guitar. Behind them, there are shelves filled with bottles of alcohol and cans of soda. The bar counter is made of wood and has a sign that reads ""Bar"".",,7.684
ae87bfe9c0709917,Bar and firreplacee taking shape.jpg,Florence-2,"The image shows a man working in a workshop. He is kneeling on the floor and is working on a piece of wood with a hammer. The wood appears to be old and weathered, with peeling paint and rust visible on the surface. There is a red pillar on the left side of the image and a window with colorful curtains on the right side. In the background, there is a workbench with various tools and materials scattered around. The man is wearing a blue shirt and jeans and is focused on his work.",,8.364
12b6521a5e9b30f1,DSC_0068.JPG,Florence-2,"The image shows a vast landscape of a snowy mountain range with a body of water in the foreground. The sky is overcast and the ground is covered in a thick layer of snow. On the left side of the image, there is a rocky path winding through the snow-covered landscape. In the background, there are several snow-capped mountains with jagged peaks. The mountains are covered in patches of snow and ice, and the water is a deep blue-green color. The overall mood of the scene is cold and desolate.",,8.202
79001a20cc210c50,DSC_0069.JPG,Florence-2,"The image shows an old, dilapidated building with peeling paint and peeling walls. The building appears to be abandoned and is located on a rocky shore. There is a large pile of snow on the ground in front of the building, and a red door on the right side. The sky is overcast and the overall mood of the image is bleak and desolate.",,8.029
61c8bdeeceb9348f,DSC_0070.JPG,Florence-2,"The image shows a rocky shoreline with a small wooden cabin on the left side. The cabin is made of wood and appears to be old and weathered. The shore is covered in snow and ice, and there is a body of water on the right side of the image. In the background, there are several mountains with snow-capped peaks. The sky is overcast and the overall landscape is barren and desolate.",,7.458
e79bff07c4445c91,DSC_0071.JPG,Florence-2,"The image shows an old, dilapidated building with a red door and a ladder leaning against the side. The building appears to be made of concrete and has a sloping roof. The walls are covered in peeling paint and there are several windows on the right side of the building. The ground is covered in snow and there is a pile of rocks and pebbles in front of the door. The sky is overcast and the overall mood of the image is bleak and desolate.",,8.129
d9b18539022da9b4,DSC_0075.JPG,Florence-2,"The image shows an old, dilapidated building on a rocky shore. The building appears to be made of concrete and has a red door and windows. The walls of the building are covered in pebbles and there is snow on the ground. In the background, there is a body of water and a mountain range. The sky is overcast and the overall mood of the image is bleak and desolate.",,7.439
507c607c8d5c694c,DSC_0076.JPG,Florence-2,"The image shows an old, dilapidated building with peeling paint and peeling walls. The building appears to be abandoned and is located on a rocky shore. There is a large pile of snow on the ground in front of the building, and a wooden ramp leading up to the entrance. The sky is overcast and the overall mood of the image is bleak and desolate.",,8.161
195279748911cbd0,DSC_0109.JPG,Florence-2,"The image shows an old, dilapidated wooden building with a red door and windows. The building appears to be abandoned and is located on a rocky terrain with a mountain in the background. The sky is overcast and the ground is covered in snow. There is a ladder leaning against the side of the building and a small wooden cabinet on the ground next to it. The windows are boarded up and there is a chimney on the right side. The overall mood of the image is bleak and desolate.",,8.25
6b4cf24fc9edef20,DSC_7124.JPG,Florence-2,"The image shows a small black building with a red roof. The building appears to be a small, single-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",,7.666
d216ea9bc1c7a26f,DSC_7125.JPG,Florence-2,"The image shows the exterior of a black building with a red roof. The building appears to be a single-story structure with a sloping roof and a small window on the right side. The window has a white frame and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",,7.324
56393d910875b893,DSC_7126.JPG,Florence-2,"The image shows a close-up of the exterior of a black building with a red roof. The building appears to be a two-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",,7.423
c0d711692a745152,DSC_7127.JPG,Florence-2,"The image shows a close-up of the exterior of a black building with a red roof. The building appears to be a two-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",,7.455
0f4869cef1d26296,HY9A2345.jpg,Florence-2,"The image shows a small glass bottle with a red cork stopper. The bottle appears to be empty and is sitting on a white surface. The cork is round and has a small opening at the top. Inside the bottle, there is a small amount of red liquid, which is likely a mixture of spices or herbs. The liquid is spilling out of the bottle and onto the surface.",,7.442
1e1ef4a8cd5440d6,HY9A2346.jpg,Florence-2,"The image is a close-up of a small glass bottle with a red cap. The bottle appears to be empty and is lying on a white surface. The cap is round and has a small hole in the center. The red cap has a textured surface and is slightly worn, indicating that it has been used for a long time. The background is blurred, making the bottle the focal point of the image.",,7.336
dba90b9be2a723dc,P1010138.JPG,Florence-2,"The image shows a green wooden shelf with three empty glass bottles on it. The shelf appears to be old and weathered, with peeling paint and rust visible on the surface. The bottles are of different sizes and shapes, with the largest one in the center and the two smaller ones on either side. The topmost bottle is empty, while the bottom two are empty. The background is a white wooden wall.",,7.833
44558cfe8479c4b1,P1010139.JPG,Florence-2,"The image is a photograph of a collection condition survey from the Polar Museum in Port Lockroy, 2016-17. The survey is titled ""Collections condition survey"" and is dated A/1/h/16/3. On the left side of the image, there is a list of items that the survey was conducted. The items include: - One of thirteen ink bottles of three different sizes, two made by Stephens and one made by Parker, date not known - Ionospheres room south wall - Materials - Primary material (according to MODES) glass - Bone/antler/ivory - Vegetable fibres - Metal - Glass - Plating - Ceramic - Food The image also",,10.201
5944a5e13aaed7ee,P7630273 (Large).jpg,Florence-2,"The image shows a group of penguins standing on a rocky shore covered in snow. In the background, there is a large body of water with a glacier and a mountain in the distance. The sky is cloudy and the overall mood of the image is cold and desolate. The penguins are standing on the edge of the rock, looking out towards the horizon. There is a red ship visible in the water near the glacier.",,6.981
8a6803aa95fd2442,P7630276 (Large).JPG,Florence-2,The image shows a small black cabin with a red roof on a snowy landscape. The cabin is located on a rocky shore with icebergs in the background. The sky is cloudy and the ground is covered in a thick layer of snow. There is a small wooden bench in front of the cabin and a small window on the right side. The door is closed and there is a metal latch on the door. The overall mood of the image is cold and desolate.,,7.04
7253795b62ffac55,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,Florence-2,"The image shows a snowy landscape with a body of water in the background. The sky is blue and the ground is covered in a thick layer of snow. In the center of the image, there is a large pile of rubble and debris scattered across the ground. The rubble appears to be old and weathered, with some of the pieces missing. There are also a few wooden poles and other debris scattered around the rubble. On the left side of the pile, there are some rocks and boulders, and on the right side, there seems to be a rocky shoreline. The overall scene is desolate and desolate.",,8.426
6a1221a18251bf1d,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,Florence-2,"The image shows a snowy landscape with a large body of water in the background. The water is calm and there is a red ship visible in the distance. On the left side of the image, there are large rocks and boulders covered in snow. In the foreground, there is an old, rusted metal structure, which appears to be a part of a larger structure. The structure is lying on the ground, with its arms and legs stretched out. The sky is cloudy and the overall mood of the scene is cold and desolate.",,7.439
82f8eb61df749a5f,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,Florence-2,"The image shows a group of penguins on a rocky shore covered in snow. The rocks are large and jagged, and the ground is covered in a thick layer of snow. In the center of the image, there is a large rock formation with several penguins standing on it. The penguins are black and white in color and appear to be walking on the rocks. The sky is overcast and the overall scene is cold and desolate.",,7.931
2eec9ea40aa80570,S7R08578.JPG,Florence-2,"The image shows a small white wooden building with a black metal roof on top of a rocky hillside. The building appears to be old and dilapidated, with peeling paint and peeling walls. There are two windows on the front of the building, one on each side, and a door on the right side. The ground is covered in snow and rocks, and there is a pile of rubble and debris scattered around the building. In the background, there are icebergs and a clear blue sky.",,7.505
18594371971610a0,S7R08579.JPG,Florence-2,The image shows a small wooden shed with a black metal roof. The shed is located in a snowy area with rocks and debris scattered around. There is a ladder leaning against the side of the shed and a small window on the right side. A sign on the door is visible in the background. The sky is clear and blue.,,6.346
7f783afe1441ff78,S7R08580.JPG,Florence-2,"The image shows a small wooden building with a black metal roof on a snowy mountain. The building has multiple windows and a door on the left side, and a sign on the right side. There are two orange fire extinguishers on the ground in front of the building. The ground is covered in snow and there are a few rocks and debris scattered around. The sky is clear and blue.",,7.266
91cf801b0e36d8c9,S7R08581.JPG,Florence-2,"The image shows a small wooden cabin on a rocky hillside. The cabin has a sloping roof and a small window on the right side. The ground is covered in snow and ice, and there is a small stream running through it. In the background, there are several icebergs and mountains visible. The sky is blue and clear, and the overall scene is peaceful and serene.",,6.997
773034f5070e1a75,"© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",Florence-2,"The image shows a man and a woman sitting at a table in a store. The woman is wearing a blue jacket and a black beanie with a red scarf around her neck. She is looking at a brochure in her hands and appears to be explaining it to the man. The man is also wearing a yellow jacket and has a lanyard around his neck. They are both looking at the brochure and seem to be engaged in a conversation. In the background, there are shelves with various items on them and a red wall with a painting of a woman's face.",,8.382
