image_uid,file_name,relative_path,clip_category,clip_confidence,blip_caption,florence_caption,classification_result,best_caption_blip_florence,notes
6b4cf24fc9edef20,DSC_7124.JPG,DSC_7124.JPG,historic Antarctic building exterior,0.4329,a red and black building,"The image shows a small black building with a red roof. The building appears to be a small, single-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
d216ea9bc1c7a26f,DSC_7125.JPG,DSC_7125.JPG,historic Antarctic building exterior,0.57418,a black building with a red window and a white roof,"The image shows the exterior of a black building with a red roof. The building appears to be a single-story structure with a sloping roof and a small window on the right side. The window has a white frame and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
56393d910875b893,DSC_7126.JPG,DSC_7126.JPG,historic Antarctic building exterior,0.79681,a red and black building with a white window,"The image shows a close-up of the exterior of a black building with a red roof. The building appears to be a two-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
c0d711692a745152,DSC_7127.JPG,DSC_7127.JPG,historic Antarctic building exterior,0.80867,a red and black building,"The image shows a close-up of the exterior of a black building with a red roof. The building appears to be a two-story structure with a sloping roof and a small window on the right side. The window has white glass panes and is framed by a red trim. On the left side of the building, there is a stone wall with a rough texture. The sky is visible in the background.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
0f4869cef1d26296,HY9A2345.jpg,HY9A2345.jpg,historic artefact close-up,0.53048,a bottle with a red substance inside of it,"The image shows a small glass bottle with a red cork stopper. The bottle appears to be empty and is sitting on a white surface. The cork is round and has a small opening at the top. Inside the bottle, there is a small amount of red liquid, which is likely a mixture of spices or herbs. The liquid is spilling out of the bottle and onto the surface.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
1e1ef4a8cd5440d6,HY9A2346.jpg,HY9A2346.jpg,unclear or low-quality image,0.78464,a small glass bottle with a red liquid inside,"The image is a close-up of a small glass bottle with a red cap. The bottle appears to be empty and is lying on a white surface. The cap is round and has a small hole in the center. The red cap has a textured surface and is slightly worn, indicating that it has been used for a long time. The background is blurred, making the bottle the focal point of the image.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
dba90b9be2a723dc,P1010138.JPG,P1010138.JPG,scientific instrument or technical equipment,0.53122,a shelf with two empty bottles on it,"The image shows a green wooden shelf with three empty glass bottles on it. The shelf appears to be old and weathered, with peeling paint and rust visible on the surface. The bottles are of different sizes and shapes, with the largest one in the center and the two smaller ones on either side. The topmost bottle is empty, while the bottom two are empty. The background is a white wooden wall.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
44558cfe8479c4b1,P1010139.JPG,P1010139.JPG,condition survey or conservation record,0.99949,a paper with a picture of a bottle of wine,"The image is a photograph of a collection condition survey from the Polar Museum in Port Lockroy, 2016-17. The survey is titled ""Collections condition survey"" and is dated A/1/h/16/3. On the left side of the image, there is a list of items that the survey was conducted. The items include: - One of thirteen ink bottles of three different sizes, two made by Stephens and one made by Parker, date not known - Ionospheres room south wall - Materials - Primary material (according to MODES) glass - Bone/antler/ivory - Vegetable fibres - Metal - Glass - Plating - Ceramic - Food The image also",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
5944a5e13aaed7ee,P7630273 (Large).jpg,P7630273 (Large).jpg,penguins or other Antarctic wildlife,0.8872,penguins on a rock,"The image shows a group of penguins standing on a rocky shore covered in snow. In the background, there is a large body of water with a glacier and a mountain in the distance. The sky is cloudy and the overall mood of the image is cold and desolate. The penguins are standing on the edge of the rock, looking out towards the horizon. There is a red ship visible in the water near the glacier.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
8a6803aa95fd2442,P7630276 (Large).JPG,P7630276 (Large).JPG,Antarctic hut restoration or construction work,0.70979,a red door on a black building,The image shows a small black cabin with a red roof on a snowy landscape. The cabin is located on a rocky shore with icebergs in the background. The sky is cloudy and the ground is covered in a thick layer of snow. There is a small wooden bench in front of the cabin and a small window on the right side. The door is closed and there is a metal latch on the door. The overall mood of the image is cold and desolate.,yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
7253795b62ffac55,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,Antarctic hut restoration or construction work,0.9923,a large pile of logs in the snow,"The image shows a snowy landscape with a body of water in the background. The sky is blue and the ground is covered in a thick layer of snow. In the center of the image, there is a large pile of rubble and debris scattered across the ground. The rubble appears to be old and weathered, with some of the pieces missing. There are also a few wooden poles and other debris scattered around the rubble. On the left side of the pile, there are some rocks and boulders, and on the right side, there seems to be a rocky shoreline. The overall scene is desolate and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
6a1221a18251bf1d,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,Antarctic hut restoration or construction work,0.6628,a man is sitting on a bench in the snow,"The image shows a snowy landscape with a large body of water in the background. The water is calm and there is a red ship visible in the distance. On the left side of the image, there are large rocks and boulders covered in snow. In the foreground, there is an old, rusted metal structure, which appears to be a part of a larger structure. The structure is lying on the ground, with its arms and legs stretched out. The sky is cloudy and the overall mood of the scene is cold and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
82f8eb61df749a5f,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,penguins or other Antarctic wildlife,0.99012,a group of penguins,"The image shows a group of penguins on a rocky shore covered in snow. The rocks are large and jagged, and the ground is covered in a thick layer of snow. In the center of the image, there is a large rock formation with several penguins standing on it. The penguins are black and white in color and appear to be walking on the rocks. The sky is overcast and the overall scene is cold and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
2eec9ea40aa80570,S7R08578.JPG,S7R08578.JPG,Antarctic hut restoration or construction work,0.70271,a pile of rocks,"The image shows a small white wooden building with a black metal roof on top of a rocky hillside. The building appears to be old and dilapidated, with peeling paint and peeling walls. There are two windows on the front of the building, one on each side, and a door on the right side. The ground is covered in snow and rocks, and there is a pile of rubble and debris scattered around the building. In the background, there are icebergs and a clear blue sky.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
18594371971610a0,S7R08579.JPG,S7R08579.JPG,Antarctic hut restoration or construction work,0.62679,a white building with a black roof,The image shows a small wooden shed with a black metal roof. The shed is located in a snowy area with rocks and debris scattered around. There is a ladder leaning against the side of the shed and a small window on the right side. A sign on the door is visible in the background. The sky is clear and blue.,yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
7f783afe1441ff78,S7R08580.JPG,S7R08580.JPG,Antarctic hut restoration or construction work,0.62033,a white building with a black roof,"The image shows a small wooden building with a black metal roof on a snowy mountain. The building has multiple windows and a door on the left side, and a sign on the right side. There are two orange fire extinguishers on the ground in front of the building. The ground is covered in snow and there are a few rocks and debris scattered around. The sky is clear and blue.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
91cf801b0e36d8c9,S7R08581.JPG,S7R08581.JPG,Antarctic hut restoration or construction work,0.28948,a small building on a rocky beach,"The image shows a small wooden cabin on a rocky hillside. The cabin has a sloping roof and a small window on the right side. The ground is covered in snow and ice, and there is a small stream running through it. In the background, there are several icebergs and mountains visible. The sky is blue and clear, and the overall scene is peaceful and serene.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
773034f5070e1a75,"© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg","© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",people outdoors at an Antarctic heritage site,0.98153,a man and woman looking at a magazine,"The image shows a man and a woman sitting at a table in a store. The woman is wearing a blue jacket and a black beanie with a red scarf around her neck. She is looking at a brochure in her hands and appears to be explaining it to the man. The man is also wearing a yellow jacket and has a lanyard around his neck. They are both looking at the brochure and seem to be engaged in a conversation. In the background, there are shelves with various items on them and a red wall with a painting of a woman's face.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
